"Reef","Site","Plot","Colony","Habitat","Depth","Cross_shelf","Taxa","Days_2022c","Survival_1","Area_2021","Area_cm_2021","log_2021","log10_2021","Note_2021","Note_2022"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_80","BA_S","Shallow","offshore","Menc",-125,1,0.001344494,13.44494,2.59860282708536,1.12855886846136,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_81","BA_S","Shallow","offshore","Acor",-125,1,0.0386265,386.265,5.95652366240935,2.58688535791053,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_82","BA_S","Shallow","offshore","Acor",-125,1,0.002998409,29.98409,3.40066690765236,1.47689087278442,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_83","BA_S","Shallow","offshore","Adgt",-125,1,0.032602927,326.02927,5.78698716261232,2.51325659156749,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_84","BA_S","Shallow","offshore","Pmas",-125,1,0.006542812,65.42812,4.18095213547175,1.815764441537,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_85","BA_S","Shallow","offshore","Pver",-125,1,0.006335063,63.35063,4.14868485146908,1.80175093814863,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_86","BA_S","Shallow","offshore","Pver",-125,1,0.015442474,154.42474,5.03970685791534,2.18871687880261,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_87","BA_S","Shallow","offshore","Acor",-125,1,0.009889693,98.89693,4.59407819669085,1.99518281025488,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_88","BA_S","Shallow","offshore","Gspp",-125,1,0.00425459,42.5459,3.75058349314994,1.62885771499244,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_89","BA_S","Shallow","offshore","Pmas",-125,1,0.001399599,13.99599,2.63877086001533,1.14600362351176,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_90","BA_S","Shallow","offshore","Adgt",-125,1,0.023105538,231.05538,5.44265742204843,2.36371608528541,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_91","BA_S","Shallow","offshore","Spis",-125,1,0.00451904,45.1904,3.81088467489984,1.65504618547867,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_92","BA_S","Shallow","offshore","Spis",-125,1,0.003299829,32.99829,3.49645574194205,1.51849143494437,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_93","BA_S","Shallow","offshore","Pver",-125,1,0.024232469,242.32469,5.49027852110415,2.38439766582748,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_94","BA_S","Shallow","offshore","Pmas",-125,1,0.006178424,61.78424,4.12364831576026,1.79087770884432,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_95","BA_S","Shallow","offshore","Acor",-125,1,0.144721823,1447.21823,7.27739853074028,3.16053402451133,NA,NA
